ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,ont,comparison
GO:0005912,adherens junction,413,0.394252536638781,1.77139793746357,0.00357142857142857,0.0197755960729313,0.0107772938658005,CC,mono-sp-vs-hc
GO:0030055,cell-substrate junction,358,0.399986836766063,1.76950968953709,0.003584229390681,0.0197755960729313,0.0107772938658005,CC,mono-sp-vs-hc
GO:0005924,cell-substrate adherens junction,354,0.401332843188263,1.77212491807958,0.00363636363636364,0.0197755960729313,0.0107772938658005,CC,mono-sp-vs-hc
GO:0005911,cell-cell junction,288,0.345155877182373,1.51079189568388,0.00366300366300366,0.0197755960729313,0.0107772938658005,CC,mono-sp-vs-hc
GO:0005925,focal adhesion,351,0.401720138140345,1.77345456907922,0.00367647058823529,0.0197755960729313,0.0107772938658005,CC,mono-sp-vs-hc
GO:0031012,extracellular matrix,221,0.356131387258174,1.51615910809295,0.00367647058823529,0.0197755960729313,0.0107772938658005,CC,mono-sp-vs-hc
GO:0070161,anchoring junction,426,0.388679228882743,1.7449300969823,0.00367647058823529,0.0197755960729313,0.0107772938658005,CC,mono-sp-vs-hc
GO:0019898,extrinsic component of membrane,209,0.340335883465239,1.46214128903368,0.0037037037037037,0.0197755960729313,0.0107772938658005,CC,mono-sp-vs-hc
GO:0030139,endocytic vesicle,218,0.332384743233461,1.42934377175693,0.0037037037037037,0.0197755960729313,0.0107772938658005,CC,mono-sp-vs-hc
GO:0000790,nuclear chromatin,258,0.366805309429817,1.58034671405226,0.00371747211895911,0.0197755960729313,0.0107772938658005,CC,mono-sp-vs-hc
GO:0000785,chromatin,388,0.318170876241903,1.43006682234064,0.00373134328358209,0.0197755960729313,0.0107772938658005,CC,mono-sp-vs-hc
GO:0098552,side of membrane,347,0.37136730250126,1.66173380927433,0.00374531835205993,0.0197755960729313,0.0107772938658005,CC,mono-sp-vs-hc
GO:0045121,membrane raft,245,0.34472207008362,1.48767461947571,0.0037593984962406,0.0197755960729313,0.0107772938658005,CC,mono-sp-vs-hc
GO:0098857,membrane microdomain,246,0.343360801974969,1.48119000939151,0.0037593984962406,0.0197755960729313,0.0107772938658005,CC,mono-sp-vs-hc
GO:0031252,cell leading edge,307,0.363098371802816,1.59342541144775,0.00380228136882129,0.0197755960729313,0.0107772938658005,CC,mono-sp-vs-hc
GO:0098562,cytoplasmic side of membrane,144,0.448708141834598,1.83831654860936,0.00381679389312977,0.0197755960729313,0.0107772938658005,CC,mono-sp-vs-hc
GO:0009898,cytoplasmic side of plasma membrane,132,0.475529633878874,1.91990008026206,0.00383141762452107,0.0197755960729313,0.0107772938658005,CC,mono-sp-vs-hc
GO:0098797,plasma membrane protein complex,346,0.359861665718416,1.60512809964954,0.00384615384615385,0.0197755960729313,0.0107772938658005,CC,mono-sp-vs-hc
GO:0005578,proteinaceous extracellular matrix,179,0.344058621522587,1.41710560197414,0.00386100386100386,0.0197755960729313,0.0107772938658005,CC,mono-sp-vs-hc
GO:0019897,extrinsic component of plasma membrane,108,0.483326929867467,1.89344351540335,0.00386100386100386,0.0197755960729313,0.0107772938658005,CC,mono-sp-vs-hc
GO:0000323,lytic vacuole,448,0.306487574518373,1.39413810127408,0.00392156862745098,0.0197755960729313,0.0107772938658005,CC,mono-sp-vs-hc
GO:0005764,lysosome,448,0.306487574518373,1.39413810127408,0.00392156862745098,0.0197755960729313,0.0107772938658005,CC,mono-sp-vs-hc
GO:0015629,actin cytoskeleton,370,0.326284000787733,1.47791482541592,0.00392156862745098,0.0197755960729313,0.0107772938658005,CC,mono-sp-vs-hc
GO:0001726,ruffle,142,0.410383681350463,1.66941001459516,0.00393700787401575,0.0197755960729313,0.0107772938658005,CC,mono-sp-vs-hc
GO:0043235,receptor complex,217,0.369869649088455,1.59112306869005,0.00396825396825397,0.0197755960729313,0.0107772938658005,CC,mono-sp-vs-hc
GO:0044440,endosomal part,376,0.285813177807143,1.29697265675369,0.00408163265306122,0.0197755960729313,0.0107772938658005,CC,mono-sp-vs-hc
GO:0000775,chromosome, centromeric region,169,-0.371091955229576,-1.55252377117259,0.00411522633744856,0.0197755960729313,0.0107772938658005,CC,mono-sp-vs-hc
GO:0005840,ribosome,209,-0.346726710553422,-1.47683499921768,0.00416666666666667,0.0197755960729313,0.0107772938658005,CC,mono-sp-vs-hc
GO:0000776,kinetochore,117,-0.404120481154472,-1.59190829972347,0.00418410041841004,0.0197755960729313,0.0107772938658005,CC,mono-sp-vs-hc
GO:0005813,centrosome,447,-0.329457317639911,-1.51301986326951,0.00432900432900433,0.0197755960729313,0.0107772938658005,CC,mono-sp-vs-hc
GO:0098687,chromosomal region,308,-0.326121316567834,-1.43114153082814,0.00434782608695652,0.0197755960729313,0.0107772938658005,CC,mono-sp-vs-hc
